Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
ALCOOL ISOPROPÍLICO FRASCO 1 L	Csm-0001	0	4	10	Xxx-0000	Consumo	ALCOOL ISOPROPÍLICO FRASCO 1 L
BARRA DE PINOS 1X40 VIAS, MACHO, 11,2MM 180 GRAUS, PASSO 2,54MM	Csm-0001	0	70	50	Xxx-0000	Consumo	BARRA DE PINOS 1X40 VIAS, MACHO, 11,2MM 180 GRAUS, PASSO 2,54MM
BARRA DE PINOS TORNEADO FÊMEA - 180 GRAUS	Csm-0001	0	88	50	Xxx-0000	Consumo	BARRA DE PINOS TORNEADO FÊMEA - 180 GRAUS
BARRA DE PINOS ESTAMPADO FÊMEA - 1X40 - 180 GRAUS	Csm-0001	0	76	50	Xxx-0000	Consumo	BARRA DE PINOS ESTAMPADO FÊMEA - 1X40 - 180 GRAUS
BARRA DE PINOS ESTAMPADO FÊMEA - 2X40 - 90 GRAUS	Csm-0001	0	97	50	Xxx-0000	Consumo	BARRA DE PINOS ESTAMPADO FÊMEA - 2X40 - 90 GRAUS
BARRA DE PINOS MACHO - 2X40 - 90 GRAUS	Csm-0001	0	95	50	Xxx-0000	Consumo	BARRA DE PINOS MACHO - 2X40 - 90 GRAUS
MINI JUMPER	Csm-0001	0	988	100	Xxx-0000	Consumo	MINI JUMPER
SOQUETE TORNEADO - 8 PINOS	Csm-0001	0	84	50	Xxx-0000	Consumo	SOQUETE TORNEADO - 8 PINOS
SOQUETE TORNEADO - 14 PINOS	Csm-0001	0	92	50	Xxx-0000	Consumo	SOQUETE TORNEADO - 14 PINOS
SOQUETE TORNEADO - 28 PINOS	Csm-0001	0	96	50	Xxx-0000	Consumo	SOQUETE TORNEADO - 28 PINOS
SOQUETE TORNEADO - 40 PINOS	Csm-0001	0	51	50	Xxx-0000	Consumo	SOQUETE TORNEADO - 40 PINOS
SOQUETE ESTAMPADO - 28 PINOS	Csm-0001	0	99	50	Xxx-0000	Consumo	SOQUETE ESTAMPADO - 28 PINOS
SOQUETE ESTAMPADO - 40 PINOS	Csm-0001	0	131	50	Xxx-0000	Consumo	SOQUETE ESTAMPADO - 40 PINOS
BATERIA 12V – 7,2AH – AJAX	Csm-0001	0	0	0	Xxx-0000	Consumo	BATERIA 12V – 7,2AH – AJAX
BATERIA CAPACITIVA 50F / 22AH -PYLE LINK	Csm-0001	0	0	0	Xxx-0000	Consumo	BATERIA CAPACITIVA 50F / 22AH -PYLE LINK
RELÉ - 5 PINOS -12Vcc - 20A	Csm-0001	0	24	50	Xxx-0000	Consumo	RELÉ - 5 PINOS -12Vcc - 20A
RELÉ - 8 PINOS - 5Vcc - 1A	Csm-0001	0	12	50	Xxx-0000	Consumo	RELÉ - 8 PINOS - 5Vcc - 1A
BORNE BANANA AMARELO 4mm	Csm-0001	0	36	50	Xxx-0000	Consumo	BORNE BANANA AMARELO 4mm
BORNE BANANA VERDE 4mm	Csm-0001	0	34	50	Xxx-0000	Consumo	BORNE BANANA VERDE 4mm
BORNE BANANA VERMELHO 4mm	Csm-0001	0	36	50	Xxx-0000	Consumo	BORNE BANANA VERMELHO 4mm
BUCHA PLÁSTICA ISOLANTE DE PASSAGEM DE PARAFUSO PARA TO220	Csm-0001	0	484	50	Xxx-0000	Consumo	BUCHA PLÁSTICA ISOLANTE DE PASSAGEM DE PARAFUSO PARA TO220
CAPAC ELETRO 100UFX25V (NAO SMD)	Csm-0001	0	445	100	Xxx-0000	Consumo	CAPAC ELETRO 100UFX25V (NAO SMD)
CAPAC ELETRO 100UFX63V (NAO SMD)	Csm-0001	0	68	100	Xxx-0000	Consumo	CAPAC ELETRO 100UFX63V (NAO SMD)
CAPAC ELETRO 100µFX50V (NAO SMD)	Csm-0001	0	249	100	Xxx-0000	Consumo	CAPAC ELETRO 100µFX50V (NAO SMD)
CAPAC ELETRO 10UFX50V (NAO SMD)	Csm-0001	0	85	100	Xxx-0000	Consumo	CAPAC ELETRO 10UFX50V (NAO SMD)
CAPAC ELETRO 10X63V (NAO SMD)	Csm-0001	0	128	100	Xxx-0000	Consumo	CAPAC ELETRO 10X63V (NAO SMD)
CAPAC ELETRO 1UFX100V (NAO SMD)	Csm-0001	0	498	100	Xxx-0000	Consumo	CAPAC ELETRO 1UFX100V (NAO SMD)
CAPAC ELETRO 2,2UFX63V (NÃO SMD)	Csm-0001	0	29	100	Xxx-0000	Consumo	CAPAC ELETRO 2,2UFX63V (NÃO SMD)
CAPAC ELETRO 4,7UFX25V (NAO SMD)	Csm-0001	0	16	100	Xxx-0000	Consumo	CAPAC ELETRO 4,7UFX25V (NAO SMD)
CAPAC ELETRO 4,7UFX63V (NAO SMD)	Csm-0001	0	161	100	Xxx-0000	Consumo	CAPAC ELETRO 4,7UFX63V (NAO SMD)
CAPAC ELETRO 47UFX50V (NAO SMD)	Csm-0001	0	263	100	Xxx-0000	Consumo	CAPAC ELETRO 47UFX50V (NAO SMD)
CAPACITOR CERÂMICO/POLIÉTER 250V – 1UF	Csm-0001	0	80	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 1UF
CAPACITOR CERÂMICO/POLIÉTER 250V – 220NF	Csm-0001	0	99	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 220NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 22NF	Csm-0001	0	102	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 22NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 33NF	Csm-0001	0	98	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 33NF
CAPACITOR CERÂMICO/POLIÉTER 250V – 470NF	Csm-0001	0	79	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 250V – 470NF
CAPACITOR CERÂMICO/POLIÉTER 400V – 330NF	Csm-0001	0	54	100	Xxx-0000	Consumo	CAPACITOR CERÂMICO/POLIÉTER 400V – 330NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 100NF	Csm-0001	0	199	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 100NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 100PF	Csm-0001	0	102	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 100PF
CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF	Csm-0001	0	129	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 10NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF	Csm-0001	0	0	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 1NF
CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF	Csm-0001	0	1054	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 22PF
CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF	Csm-0001	0	88	100	Xxx-0000	Consumo	CAPACITOR DE CERÂMICA - DISCO – 250V – 4,7NF
CAPACITOR ELETROLÍTICO - 100V – 0,47UF	Csm-0001	0	96	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 100V – 0,47UF
CAPACITOR ELETROLÍTICO - 250V – 1000UF	Csm-0001	0	9	10	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 250V – 1000UF
CAPACITOR ELETROLÍTICO - 400V – 470UF	Csm-0001	0	9	10	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 400V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 1000UF	Csm-0001	0	192	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 1000UF
CAPACITOR ELETROLÍTICO - 50V – 4,7UF	Csm-0001	0	0	0	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 4,7UF
CAPACITOR ELETROLÍTICO - 50V – 470UF	Csm-0001	0	0	100	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 470UF
CAPACITOR ELETROLÍTICO - 50V – 47UF	Csm-0001	0	0	0	Xxx-0000	Consumo	CAPACITOR ELETROLÍTICO - 50V – 47UF
CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger	Csm-0001	0	145	200	Xxx-0000	Consumo	CIRCUITO INTEGRADO 40106 - Hex inverting Schmitt trigger
