Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
BARRA DE PINOS 1X40 VIAS, MACHO, 11,2MM 180 GRAUS, PASSO 2,54MM	2	0	70	50	2	Consumo	BARRA DE PINOS 1X40 VIAS, MACHO, 11,2MM 180 GRAUS, PASSO 2,54MM
BARRA DE PINOS TORNEADO FÊMEA - 180 GRAUS	3	0	88	50	2	Consumo	BARRA DE PINOS TORNEADO FÊMEA - 180 GRAUS
BARRA DE PINOS ESTAMPADO FÊMEA - 1X40 - 180 GRAUS	4	0	76	50	2	Consumo	BARRA DE PINOS ESTAMPADO FÊMEA - 1X40 - 180 GRAUS
BARRA DE PINOS ESTAMPADO FÊMEA - 2X40 - 90 GRAUS	5	0	97	50	2	Consumo	BARRA DE PINOS ESTAMPADO FÊMEA - 2X40 - 90 GRAUS
BARRA DE PINOS MACHO - 2X40 - 90 GRAUS	6	0	95	50	2	Consumo	BARRA DE PINOS MACHO - 2X40 - 90 GRAUS
MINI JUMPER	7	0	988	100	2	Consumo	MINI JUMPER
SOQUETE TORNEADO - 8 PINOS	8	0	84	50	2	Consumo	SOQUETE TORNEADO - 8 PINOS
SOQUETE TORNEADO - 14 PINOS	9	0	92	50	2	Consumo	SOQUETE TORNEADO - 14 PINOS
SOQUETE TORNEADO - 28 PINOS	10	0	96	50	2	Consumo	SOQUETE TORNEADO - 28 PINOS
SOQUETE TORNEADO - 40 PINOS	11	0	51	50	2	Consumo	SOQUETE TORNEADO - 40 PINOS
SOQUETE ESTAMPADO - 28 PINOS	12	0	99	50	2	Consumo	SOQUETE ESTAMPADO - 28 PINOS
SOQUETE ESTAMPADO - 40 PINOS	13	0	131	50	2	Consumo	SOQUETE ESTAMPADO - 40 PINOS
BATERIA 12V – 7,2AH – AJAX	14	0	0	0	2	Consumo	BATERIA 12V – 7,2AH – AJAX
BATERIA CAPACITIVA 50F / 22AH -PYLE LINK	15	0	0	0	2	Consumo	BATERIA CAPACITIVA 50F / 22AH -PYLE LINK
RELÉ - 5 PINOS -12Vcc - 20A	16	0	24	50	2	Consumo	RELÉ - 5 PINOS -12Vcc - 20A
RELÉ - 8 PINOS - 5Vcc - 1A	17	0	12	50	2	Consumo	RELÉ - 8 PINOS - 5Vcc - 1A
BORNE BANANA AMARELO 4mm	18	0	36	50	2	Consumo	BORNE BANANA AMARELO 4mm
BORNE BANANA VERDE 4mm	19	0	34	50	2	Consumo	BORNE BANANA VERDE 4mm
BORNE BANANA VERMELHO 4mm	20	0	36	50	2	Consumo	BORNE BANANA VERMELHO 4mm
BUCHA PLÁSTICA ISOLANTE DE PASSAGEM DE PARAFUSO PARA TO220	21	0	484	50	2	Consumo	BUCHA PLÁSTICA ISOLANTE DE PASSAGEM DE PARAFUSO PARA TO220
CAPAC ELETRO 100UFX25V (NAO SMD)	22	0	445	100	2	Consumo	CAPAC ELETRO 100UFX25V (NAO SMD)
CAPAC ELETRO 100UFX63V (NAO SMD)	23	0	68	100	2	Consumo	CAPAC ELETRO 100UFX63V (NAO SMD)
CAPAC ELETRO 100µFX50V (NAO SMD)	24	0	249	100	2	Consumo	CAPAC ELETRO 100µFX50V (NAO SMD)
CAPAC ELETRO 10UFX50V (NAO SMD)	25	0	85	100	2	Consumo	CAPAC ELETRO 10UFX50V (NAO SMD)
CAPAC ELETRO 10X63V (NAO SMD)	26	0	128	100	2	Consumo	CAPAC ELETRO 10X63V (NAO SMD)
CAPAC ELETRO 1UFX100V (NAO SMD)	27	0	498	100	2	Consumo	CAPAC ELETRO 1UFX100V (NAO SMD)
CAPAC ELETRO 2,2UFX63V (NÃO SMD)	28	0	29	100	2	Consumo	CAPAC ELETRO 2,2UFX63V (NÃO SMD)
CAPAC ELETRO 4,7UFX25V (NAO SMD)	29	0	16	100	2	Consumo	CAPAC ELETRO 4,7UFX25V (NAO SMD)
CAPAC ELETRO 4,7UFX63V (NAO SMD)	30	0	161	100	2	Consumo	CAPAC ELETRO 4,7UFX63V (NAO SMD)
CAPAC ELETRO 47UFX50V (NAO SMD)	31	0	263	100	2	Consumo	CAPAC ELETRO 47UFX50V (NAO SMD)
